# Data for the a4a model 
# Full age range
 1 10 
# Full year range
 1957 2008 
# Number of surveys
 1 
# Survey time as a fraction into the year (one for each survey)
 0.705 
# fbar range
 2 6 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 710 
# Observation data frame 
# fleet	year	age	observation	weights
1	1957	1	0.179918529542682	1
1	1957	2	0.392004448479339	1
1	1957	3	1.04777441080557	1
1	1957	4	0.580120974012919	1
1	1957	5	-0.0200320372324487	1
1	1957	6	-0.973106308545116	1
1	1957	7	-0.975208459081566	1
1	1957	8	-1.18569473200873	1
1	1957	9	-1.71317060387283	1
1	1957	10	-0.935868719036309	1
1	1958	1	1.14956987808566	1
1	1958	2	0.942774839568056	1
1	1958	3	0.629766606187452	1
1	1958	4	0.847357890389738	1
1	1958	5	0.229377422338223	1
1	1958	6	-0.296279876194022	1
1	1958	7	-1.15480797510697	1
1	1958	8	-1.15977871591378	1
1	1958	9	-1.43273020349831	1
1	1958	10	-0.728401663574473	1
1	1959	1	1.50734320792021	1
1	1959	2	1.4183843751456	1
1	1959	3	0.970038124708669	1
1	1959	4	0.392169666911197	1
1	1959	5	0.446414380364239	1
1	1959	6	-0.203618800461955	1
1	1959	7	-0.686528272889509	1
1	1959	8	-1.48954576291647	1
1	1959	9	-1.45371053252507	1
1	1959	10	-0.551864875196499	1
1	1960	1	1.16885529138528	1
1	1960	2	1.59613524136085	1
1	1960	3	1.37373781027507	1
1	1960	4	0.676145486411896	1
1	1960	5	-0.110274344386108	1
1	1960	6	-0.120687956410857	1
1	1960	7	-0.70369756505324	1
1	1960	8	-1.0795910818333	1
1	1960	9	-1.82753674284958	1
1	1960	10	-0.537171289353882	1
1	1961	1	1.30635017223834	1
1	1961	2	1.43063697367915	1
1	1961	3	1.60116063830946	1
1	1961	4	1.04301835421532	1
1	1961	5	0.133798180921698	1
1	1961	6	-0.664216648812557	1
1	1961	7	-0.572005177680166	1
1	1961	8	-1.07729290631621	1
1	1961	9	-1.47921657628924	1
1	1961	10	-0.694227386488953	1
1	1962	1	1.00340253590941	1
1	1962	2	1.67381751773502	1
1	1962	3	1.46440262109039	1
1	1962	4	1.28475173683133	1
1	1962	5	0.548303543595329	1
1	1962	6	-0.3466085079406	1
1	1962	7	-1.06793042892132	1
1	1962	8	-0.964571111627633	1
1	1962	9	-1.54937755072481	1
1	1962	10	-0.702356498856096	1
1	1963	1	0.983860162878724	1
1	1963	2	1.25141341464125	1
1	1963	3	1.69333720337418	1
1	1963	4	1.19139049646693	1
1	1963	5	0.825192761679013	1
1	1963	6	0.0496010609606188	1
1	1963	7	-0.818508001189567	1
1	1963	8	-1.53533639641636	1
1	1963	9	-1.46290113990577	1
1	1963	10	-0.593727263649694	1
1	1964	1	2.06605357488138	1
1	1964	2	1.20299290572327	1
1	1964	3	1.30945517585107	1
1	1964	4	1.42413661257962	1
1	1964	5	0.664033302411898	1
1	1964	6	0.214919377743684	1
1	1964	7	-0.518435033317637	1
1	1964	8	-1.32354468258039	1
1	1964	9	-2.00596075024161	1
1	1964	10	-0.412982679696423	1
1	1965	1	0.554479176929014	1
1	1965	2	2.53917135924243	1
1	1965	3	1.35842946069056	1
1	1965	4	0.972070489296838	1
1	1965	5	0.762688762044075	1
1	1965	6	-0.0381507310290949	1
1	1965	7	-0.371733144333726	1
1	1965	8	-1.00874932806467	1
1	1965	9	-1.8022596975858	1
1	1965	10	-0.462647881912797	1
1	1966	1	0.489382627747997	1
1	1966	2	1.28804632750202	1
1	1966	3	2.73294546996674	1
1	1966	4	0.939053870337549	1
1	1966	5	0.233119521327204	1
1	1966	6	0.0501796419159124	1
1	1966	7	-0.605952692396746	1
1	1966	8	-0.882024061357164	1
1	1966	9	-1.5783970453365	1
1	1966	10	-0.655042389645409	1
1	1967	1	0.477370413518949	1
1	1967	2	1.18695408999994	1
1	1967	3	1.40707160464082	1
1	1967	4	2.3017902750508	1
1	1967	5	0.24948814981324	1
1	1967	6	-0.431102687860438	1
1	1967	7	-0.522397012264356	1
1	1967	8	-1.17261359482994	1
1	1967	9	-1.51519319216842	1
1	1967	10	-0.808765730289975	1
1	1968	1	0.800388222527525	1
1	1968	2	0.908849409998002	1
1	1968	3	1.1944190601927	1
1	1968	4	1.03910591908398	1
1	1968	5	1.73678665150715	1
1	1968	6	-0.342591885418081	1
1	1968	7	-0.992286809647187	1
1	1968	8	-1.06992443729118	1
1	1968	9	-1.71484218360317	1
1	1968	10	-0.765949998819588	1
1	1969	1	1.57539719203945	1
1	1969	2	0.961510179463739	1
1	1969	3	0.828036675091889	1
1	1969	4	0.883597981617473	1
1	1969	5	0.569563526513981	1
1	1969	6	1.20893489564053	1
1	1969	7	-0.847033607866042	1
1	1969	8	-1.43385944020422	1
1	1969	9	-1.44492889470336	1
1	1969	10	-0.634169656707716	1
1	1970	1	1.65317347386111	1
1	1970	2	1.52627868882915	1
1	1970	3	0.793017209584109	1
1	1970	4	0.505147442038325	1
1	1970	5	0.427743426592395	1
1	1970	6	0.0592097743286093	1
1	1970	7	0.732442025543417	1
1	1970	8	-1.24721304994144	1
1	1970	9	-1.77634459222901	1
1	1970	10	-0.469888439517632	1
1	1971	1	1.14896509050696	1
1	1971	2	1.47184487652518	1
1	1971	3	1.28792086266684	1
1	1971	4	0.422558397496701	1
1	1971	5	0.0153071774569664	1
1	1971	6	-0.108141554414152	1
1	1971	7	-0.457285865080065	1
1	1971	8	0.248392289801703	1
1	1971	9	-1.7217955085658	1
1	1971	10	-0.522320898856481	1
1	1972	1	0.752453862386885	1
1	1972	2	1.04357734052182	1
1	1972	3	1.26947034392373	1
1	1972	4	0.903935423582436	1
1	1972	5	-0.0922568214205981	1
1	1972	6	-0.53690042400097	1
1	1972	7	-0.650493307125139	1
1	1972	8	-1.00218918247132	1
1	1972	9	-0.311661422419371	1
1	1972	10	-0.597902371102769	1
1	1973	1	1.96980000314842	1
1	1973	2	0.921448546475661	1
1	1973	3	0.963277831443593	1
1	1973	4	0.892119051869248	1
1	1973	5	0.362776561199173	1
1	1973	6	-0.644926954004184	1
1	1973	7	-1.04382239786501	1
1	1973	8	-1.13406052558897	1
1	1973	9	-1.48188469000625	1
1	1973	10	-0.107749760477487	1
1	1974	1	2.11914358696261	1
1	1974	2	2.30670032745738	1
1	1974	3	0.869857504073764	1
1	1974	4	0.530502716168787	1
1	1974	5	0.270688273208615	1
1	1974	6	-0.241651501863039	1
1	1974	7	-1.148416462905	1
1	1974	8	-1.46836663631855	1
1	1974	9	-1.52506352904718	1
1	1974	10	-0.195500439705976	1
1	1975	1	2.10282349619589	1
1	1975	2	2.2735083468005	1
1	1975	3	2.08951360996811	1
1	1975	4	0.313236615337908	1
1	1975	5	-0.19303333489167	1
1	1975	6	-0.433067889185757	1
1	1975	7	-0.837468068940522	1
1	1975	8	-1.64855603563593	1
1	1975	9	-1.92568732883164	1
1	1975	10	-0.401246253290722	1
1	1976	1	2.00140364635523	1
1	1976	2	1.90662113754574	1
1	1976	3	1.84641649744241	1
1	1976	4	1.45941818135136	1
1	1976	5	-0.415687983049912	1
1	1976	6	-0.914540387301688	1
